City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Sinnamary,GF,76.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
256,Kautokeino,NO,65.86,broken clouds,69.0125,23.0412,Thon Hotel Kautokeino
258,Lamar,US,71.26,clear sky,33.6668,-95.5836,Kings Inn Paris TX
259,Kalmunai,LK,80.67,overcast clouds,7.4167,81.8167,VS Villa
260,Casino,AU,71.55,clear sky,-28.8667,153.05,Squatters Homestead Motel
262,Syamzha,RU,61.16,few clouds,60.0158,41.0614,Hotel Syamzha
265,Rupert,US,78.24,clear sky,42.6191,-113.6772,Uptown Motel
267,Ponta Do Sol,PT,63.23,scattered clouds,32.6667,-17.1,Hotel do Campo
268,Kerrobert,CA,77.05,scattered clouds,51.9168,-109.1348,"Motel 6 Kerrobert, SK"
269,Fairbanks,US,70.14,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
273,Bama,NG,83.32,few clouds,11.5221,13.6856,UN Humanitarian Hub
274,Pacifica,US,68.34,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
276,Cockburn Town,TC,79.65,few clouds,21.4612,-71.1419,Osprey Beach Hotel
277,Shenjiamen,CN,65.41,light rain,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
279,Camacari,BR,78.57,few clouds,-12.6975,-38.3242,Hotel Cambuci
280,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
282,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
283,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
285,Hambantota,LK,84.54,broken clouds,6.1241,81.1185,Bungalow 63
286,Ambilobe,MG,76.3,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
288,Raudeberg,NO,63.27,clear sky,61.9875,5.1352,Nordre Silda.
291,Pedasi,PA,80.35,overcast clouds,7.5333,-80.0333,Selina Pedasi
292,Guerrero Negro,MX,62.67,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
293,Pringsewu,ID,88.63,overcast clouds,-5.3582,104.9744,Urban Style by Front One
294,Pisco,PE,63.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
296,Sao Joao Da Barra,BR,69.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
299,Tashtyp,RU,68.7,light rain,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
302,San Luis De Palenque,CO,73.69,overcast clouds,5.4214,-71.7317,Hotel Palenque Los Cubarros
304,Sinjar,IQ,80.71,clear sky,36.3209,41.8754,زوماني فون 1
305,Douglas,US,75.07,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
306,Jibuti,DJ,83.62,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
307,Saint-Denis,FR,63.21,overcast clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
308,Acapulco,MX,82.15,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
310,Shibetsu,JP,61.5,moderate rain,43.659,145.132,Hotel Kawabata Shibetsu
311,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
313,Maunabo,PR,80.44,overcast clouds,18.0072,-65.8993,Maunacaribe
314,Naryan-Mar,RU,61.92,scattered clouds,67.6713,53.086999999999996,Hostel Agat
315,Fort Nelson,CA,60.39,light rain,58.8053,-122.7002,The Fort Nelson Hotel
316,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
317,Alvaraes,BR,72.95,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
319,Portland,US,68.38,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
321,Marsh Harbour,BS,78.03,broken clouds,26.5412,-77.0636,Abaco Beach Resort
322,Beyneu,KZ,79.61,clear sky,45.3167,55.2,NUR
324,Itarema,BR,76.17,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
327,San Patricio,US,75.29,light rain,28.017,-97.5169,"Motel 6 Sinton, TX"
328,Kindu,CD,68.0,broken clouds,-2.95,25.95,Résidence Okanda
329,Benghazi,LY,70.23,clear sky,32.1167,20.0667,Tibesti Hotel
330,Houma,US,75.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
332,Portobelo,PA,78.82,overcast clouds,9.55,-79.65,Scuba Portobelo
333,Hamilton,US,63.45,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
335,Kuah,MY,89.6,scattered clouds,6.3265,99.8432,Azio Hotel
336,Darnah,LY,68.27,clear sky,32.766999999999996,22.6367,فندق الفردوس
338,Magole,TZ,69.24,overcast clouds,-6.3667,37.3667,Juma lubelwa
339,Mackenzie,CA,62.82,clear sky,55.2999,-123.1698,Hilton Shop
