City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vangaindrano,MG,2021-06-01 21:33:28,-23.35,47.6,69.78,94,100,4.94
68,Tavda,RU,2021-06-01 21:33:29,58.0425,65.2726,45.88,55,68,3.94
69,Jiuquan,CN,2021-06-01 21:33:29,39.7432,98.5174,51.87,12,63,3.85
70,Sur,OM,2021-06-01 21:33:29,22.5667,59.5289,93.78,34,0,8.79
71,Bredasdorp,ZA,2021-06-01 21:33:30,-34.5322,20.0403,47.52,93,8,3.42
72,Baykalovo,RU,2021-06-01 21:33:30,57.3981,63.7684,49.89,55,94,5.17
73,Koratla,IN,2021-06-01 21:33:30,18.8167,78.7167,84.0,57,100,3.69
74,Saldanha,ZA,2021-06-01 21:33:31,-33.0117,17.9442,53.65,86,1,9.55
75,Punta Arenas,CL,2021-06-01 21:29:32,-53.15,-70.9167,30.31,93,0,2.73
76,Viedma,AR,2021-06-01 21:33:31,-40.8135,-62.9967,52.54,60,2,15.14
77,Lompoc,US,2021-06-01 21:33:32,34.6391,-120.4579,86.14,75,40,5.01
78,Dauphin,CA,2021-06-01 21:33:32,51.1494,-100.0502,78.94,24,1,18.41
79,Bagdarin,RU,2021-06-01 21:33:33,54.4333,113.6,47.7,87,94,5.26
80,Emba,KZ,2021-06-01 21:33:33,48.8264,58.1442,67.66,70,6,10.33
81,Butaritari,KI,2021-06-01 21:33:33,3.0707,172.7902,83.12,81,98,16.89
82,Chokurdakh,RU,2021-06-01 21:33:34,70.6333,147.9167,66.61,27,60,5.99
83,Rehoboth,NA,2021-06-01 21:33:34,-23.3167,17.0833,47.66,38,0,6.71
84,Port Elizabeth,ZA,2021-06-01 21:33:35,-33.918,25.5701,59.29,88,90,3.44
85,Srednekolymsk,RU,2021-06-01 21:33:35,67.45,153.6833,64.2,26,98,11.56
86,Atasu,KZ,2021-06-01 21:33:35,48.6814,71.6433,63.63,70,7,8.1
87,Souillac,MU,2021-06-01 21:33:36,-20.5167,57.5167,73.36,88,40,12.82
88,Faanui,PF,2021-06-01 21:33:36,-16.4833,-151.75,79.9,69,72,14.14
89,Inhambane,MZ,2021-06-01 21:33:36,-23.865,35.3833,70.5,81,0,12.12
90,Kamskiye Polyany,RU,2021-06-01 21:33:37,55.4307,51.4171,56.21,68,100,8.75
91,Simbahan,PH,2021-06-01 21:33:37,6.3032,120.5836,83.52,73,100,9.89
92,Tilichiki,RU,2021-06-01 21:33:37,60.4667,166.1,47.39,59,5,0.74
93,Kavieng,PG,2021-06-01 21:33:38,-2.5744,150.7967,78.78,87,100,7.72
94,Khani,GE,2021-06-01 21:33:38,41.9563,42.9566,56.77,97,91,1.59
95,Benghazi,LY,2021-06-01 21:33:39,32.1167,20.0667,70.93,66,80,11.81
96,Waipawa,NZ,2021-06-01 21:33:39,-41.4122,175.5153,53.02,77,0,3.76
97,Ca Mau,VN,2021-06-01 21:33:40,9.1769,105.15,79.39,88,89,4.12
98,Arrecife,ES,2021-06-01 21:33:40,28.963,-13.5477,68.07,68,20,17.27
99,Khanewal,PK,2021-06-01 21:33:40,30.3,71.9333,82.22,43,1,10.0
100,Dali,CN,2021-06-01 21:33:41,25.7,100.1833,61.25,91,30,4.88
101,Pandan,PH,2021-06-01 21:33:41,14.0453,124.1694,81.14,88,99,9.46
102,Hamilton,US,2021-06-01 21:33:42,39.1834,-84.5333,76.95,54,1,5.1
103,Escarcega,MX,2021-06-01 21:33:42,18.6089,-90.7454,101.52,19,20,4.83
104,Atar,MR,2021-06-01 21:33:42,20.5169,-13.0499,91.78,30,98,5.86
105,Beringovskiy,RU,2021-06-01 21:33:43,63.05,179.3167,32.0,81,100,12.75
106,Kadoma,JP,2021-06-01 21:33:43,34.7333,135.5833,70.18,69,75,5.23
107,Alice Springs,AU,2021-06-01 21:33:44,-23.7,133.8833,56.75,47,40,6.71
108,Hobart,AU,2021-06-01 21:31:31,-42.8794,147.3294,52.27,71,0,5.01
109,Albanel,CA,2021-06-01 21:33:44,48.8832,-72.4487,69.78,43,77,13.8
110,Bethel,US,2021-06-01 21:33:45,41.3712,-73.414,77.52,49,1,1.01
111,Tasiilaq,GL,2021-06-01 21:33:45,65.6145,-37.6368,37.56,73,6,5.01
112,Constitucion,CL,2021-06-01 21:33:46,-35.3333,-72.4167,58.33,99,100,1.32
113,Victoria,HK,2021-06-01 21:29:45,22.2855,114.1577,80.94,92,100,7.87
114,Lagoa,PT,2021-06-01 21:33:46,39.05,-27.9833,59.67,58,58,13.02
115,Carnarvon,AU,2021-06-01 21:33:47,-24.8667,113.6333,55.47,82,81,12.66
116,Saint George,US,2021-06-01 21:30:29,37.1041,-113.5841,99.79,9,1,1.01
117,Panaba,MX,2021-06-01 21:33:47,21.2833,-88.2667,89.29,50,97,16.8
118,Djougou,BJ,2021-06-01 21:33:48,9.7085,1.666,80.71,78,100,5.37
119,Selma,US,2021-06-01 21:33:48,36.5708,-119.6121,105.03,8,49,10.6
120,Pochutla,MX,2021-06-01 21:33:49,15.7432,-96.4661,89.42,53,86,8.93
121,San Cristobal,VE,2021-06-01 21:33:49,7.7669,-72.225,77.18,99,100,2.53
122,Korla,CN,2021-06-01 21:33:49,41.7597,86.1469,74.08,29,95,7.23
123,Eleousa,GR,2021-06-01 21:33:50,39.7064,20.7925,54.52,66,0,0.0
124,Qinggang,CN,2021-06-01 21:33:50,46.6833,126.0833,57.88,47,93,6.78
125,North Las Vegas,US,2021-06-01 21:33:51,36.1989,-115.1175,105.08,6,1,0.0
