City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Sijunjung,ID,-0.6876,100.9537,83.46,84,100,0.22,overcast clouds
166,Buraydah,SA,26.326,43.975,90.05,11,56,5.35,broken clouds
167,Georgetown,MY,5.4112,100.3354,91.35,62,20,5.99,few clouds
168,Mossendjo,CG,-2.9506,12.7261,66.87,100,27,1.01,scattered clouds
169,Lautaro,CL,-38.5167,-72.45,48.18,96,100,1.57,overcast clouds
170,Turukhansk,RU,65.8167,87.9833,41.58,63,89,11.21,overcast clouds
171,Ribeira Grande,PT,38.5167,-28.7,62.53,71,99,12.66,overcast clouds
172,Tabou,CI,4.423,-7.3528,79.32,87,99,7.65,light rain
173,Esna,EG,25.2934,32.554,77.02,23,88,21.92,overcast clouds
174,Nishihara,JP,26.1842,127.7558,89.26,81,75,15.93,broken clouds
175,Husavik,IS,66.0449,-17.3389,42.71,61,89,7.14,overcast clouds
176,Hithadhoo,MV,-0.6,73.0833,83.23,75,100,18.05,light rain
177,Naro,IT,37.2935,13.7936,66.92,61,42,2.64,scattered clouds
178,Mahanoro,MG,-19.9,48.8,71.49,79,2,3.0,clear sky
179,Flinders,AU,-34.5833,150.8552,65.48,61,62,5.01,broken clouds
180,Bengkulu,ID,-3.8004,102.2655,83.77,76,79,5.1,light rain
181,Saint-Pierre,RE,-21.3393,55.4781,74.84,58,0,5.75,clear sky
182,Bredy,RU,52.4153,60.3411,58.05,58,97,23.24,overcast clouds
183,Ilulissat,GL,69.2167,-51.1,37.42,75,90,3.44,overcast clouds
184,Souillac,MU,-20.5167,57.5167,70.18,94,75,17.38,light rain
185,Faanui,PF,-16.4833,-151.75,81.21,71,80,6.67,broken clouds
186,Ust-Nera,RU,64.5667,143.2,65.75,26,12,4.83,few clouds
187,Haines Junction,CA,60.7522,-137.5108,51.75,30,9,9.22,clear sky
188,Greymouth,NZ,-42.4667,171.2,51.91,81,95,2.82,overcast clouds
189,Kodiak,US,57.79,-152.4072,51.31,71,90,6.91,overcast clouds
190,Chapais,CA,49.7834,-74.8492,56.98,96,89,6.33,overcast clouds
191,Broome,US,42.2506,-75.833,65.64,97,90,1.01,mist
192,Aksu,CN,41.1231,80.2644,86.97,19,21,4.41,few clouds
193,Paita,PE,-5.0892,-81.1144,67.55,81,8,8.88,clear sky
194,Mehamn,NO,71.0357,27.8492,58.95,51,0,12.66,clear sky
195,Portel,BR,-1.9356,-50.8211,73.38,97,63,2.95,broken clouds
196,Qaqortoq,GL,60.7167,-46.0333,43.3,85,31,2.15,scattered clouds
197,Pandan,PH,14.0453,124.1694,88.18,65,50,2.91,scattered clouds
198,Kalanguy,RU,51.0167,116.5167,67.35,41,30,16.84,scattered clouds
199,Spearfish,US,44.4908,-103.8594,70.11,46,1,1.99,clear sky
200,Ginda,IN,30.6945,78.4932,80.13,26,1,6.22,clear sky
201,Takoradi,GH,4.8845,-1.7554,78.84,88,64,4.9,light rain
202,Khani,GE,41.9563,42.9566,56.77,46,56,2.26,broken clouds
203,Airai,TL,-8.9266,125.4092,74.97,51,49,3.67,scattered clouds
204,Atlantic City,US,39.3643,-74.4229,70.48,92,90,18.37,overcast clouds
205,Ossora,RU,59.2353,163.0719,50.36,67,63,3.91,broken clouds
206,Liaozhong,CN,41.5061,122.7242,63.09,41,100,19.28,light rain
207,Alofi,NU,-19.0595,-169.9187,78.33,71,85,3.4,light rain
208,Shelburne,CA,44.0787,-80.2041,62.49,84,1,7.14,clear sky
209,Nadym,RU,65.5333,72.5167,48.2,44,21,14.56,few clouds
210,Puhja,EE,58.3419,26.3147,57.24,90,100,3.15,overcast clouds
211,Caravelas,BR,-17.7125,-39.2481,73.17,88,100,5.91,overcast clouds
212,Luanda,AO,-8.8368,13.2343,77.0,88,75,4.61,broken clouds
213,Garmsar,IR,35.2182,52.3409,96.4,10,1,3.98,clear sky
214,Isangel,VU,-19.55,169.2667,78.91,65,75,11.77,broken clouds
215,Ketchikan,US,55.3422,-131.6461,49.98,93,90,11.5,moderate rain
216,Erenhot,CN,43.6475,111.9767,65.44,30,10,15.61,clear sky
217,Surt,LY,31.2089,16.5887,70.16,77,21,14.83,few clouds
218,Manono,CD,-7.3,27.4167,72.09,74,97,3.11,overcast clouds
219,Bayan,CN,46.0833,127.4,58.21,72,99,11.65,overcast clouds
220,Zonguldak,TR,41.25,31.8333,55.09,82,92,6.82,overcast clouds
221,Tautira,PF,-17.7333,-149.15,78.82,77,52,17.49,light rain
